Q0045	COX1	1	528	PANTHER	PTHR10422	Cytochrome c oxidase subunit I
Q0045	COX1	1	528	PANTHER	PTHR10422:SF30	""
Q0045	COX1	1	534	GENE3D	G3DSA:1.20.210.10	Cytochrome c oxidase-like, subunit I domain
Q0045	COX1	1	534	PROSITE	PS50855	COX1; Cytochrome c oxidase-like, subunit I domain
Q0045	COX1	3	529	SUPERFAMILY	SSF81442	Cytochrome c oxidase-like, subunit I domain
Q0045	COX1	4	29	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	13	460	Pfam	PF00115	COX1; Cytochrome c oxidase subunit I
Q0045	COX1	53	76	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	81	105	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	123	135	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	155	173	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	184	203	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	235	256	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	237	291	PROSITE	PS00077	COX1_CUB; Cytochrome c oxidase, subunit I, copper-binding site
Q0045	COX1	281	296	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	305	326	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	340	358	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	368	387	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0045	COX1	418	439	PRINTS	PR01165	CYCOXIDASEI; Cytochrome c oxidase subunit I
Q0050	AI1	1	104	GENE3D	G3DSA:1.20.210.10	Cytochrome c oxidase-like, subunit I domain
Q0050	AI1	3	148	SUPERFAMILY	SSF81442	Cytochrome c oxidase-like, subunit I domain
Q0050	AI1	270	464	SUPERFAMILY	SSF56672	""
Q0050	AI1	296	577	PROSITE	PS50878	RT_POL; Reverse transcriptase domain
Q0050	AI1	315	577	Pfam	PF00078	RVT_1; Reverse transcriptase domain
Q0050	AI1	340	577	GENE3D	G3DSA:3.30.70.270	""
Q0050	AI1	514	582	SUPERFAMILY	SSF56672	""
Q0050	AI1	600	818	PANTHER	PTHR33642	""
Q0050	AI1	602	759	Pfam	PF01348	Intron_maturas2; Domain X
Q0050	AI1	761	820	SMART	SM00507	HNHc; HNH nuclease
Q0055	AI2	1	121	PROSITE	PS50855	COX1; Cytochrome c oxidase-like, subunit I domain
Q0055	AI2	1	141	GENE3D	G3DSA:1.20.210.10	Cytochrome c oxidase-like, subunit I domain
Q0055	AI2	3	122	SUPERFAMILY	SSF81442	Cytochrome c oxidase-like, subunit I domain
